"","Variable_Name","Variable_Description"
"3","Lab",NA
"4","T_N",NA
"5","C_N",NA
"6","T_M",NA
"7","SE_T_M",NA
"8","C_M",NA
"9","SE_C_M",NA
"10","T_SD",NA
"11","SE_T_SD",NA
"12","C_SD",NA
"13","SE_C_SD",NA
"14","MD","mean difference"
"15","SE_MD",NA
"16","pooled_SD",NA
"17","SE_pooled_SD",NA
"18","SMD",NA
"19","SE_SMD",NA
