"","Project","Replication","Lab","T_N","C_N","T_M","SE_T_M","C_M","SE_C_M","T_SD","SE_T_SD","C_SD","SE_C_SD","MD","SE_MD","pooled_SD","SE_pooled_SD","SMD","SE_SMD"
"1","ML1","Lorge","abington",36,48,5.44444444444444,0.39529865029834,4.9375,0.329417939824191,2.37179190179004,0.283483353640709,2.28227443480066,0.235398634184668,0.506944444444445,0.511711562394212,2.32090549215668,0.180137201785212,0.21642035944705,0.21909267485763
"2","ML1","Lorge","brasilia",76,43,5.97368421052632,0.210241034780197,5.58139534883721,0.366408685252546,1.83283884878459,0.149650665342413,2.40270242831389,0.262156327385777,0.392288861689106,0.392269227609482,2.05566235857927,0.133812221903853,0.189606966310332,0.189995412767547
"3","ML1","Lorge","charles",39,45,6.20512820512821,0.314257446184556,5.64444444444444,0.288071882786356,1.96253712240434,0.225118447092306,1.93244493694993,0.205999322437749,0.56068376068376,0.425837471923885,1.94644793891424,0.151073659104829,0.285410789956215,0.217884106419252
"4","ML1","Lorge","conncoll",46,48,5.71739130434783,0.345660529173163,5.39583333333333,0.30617113738305,2.34438377099409,0.247119747529197,2.12121586303437,0.218786710903483,0.321557971014493,0.460770503524713,2.23316224809999,0.163743400529232,0.142814627684576,0.204908457788746
"5","ML1","Lorge","csun",47,49,5.97872340425532,0.34476306964716,4.3265306122449,0.254863834363295,2.36357652447494,0.246419887039975,1.78404684054307,0.182083518189791,1.65219279201042,0.426271645501264,2.08784280815823,0.151468037128179,0.785006109780948,0.210308656688319
"6","ML1","Lorge","help",59,43,5.76271186440678,0.330894138757701,5.27906976744186,0.37990145804446,2.54164610691336,0.235985916674832,2.49118045641924,0.271810071698472,0.483642096964919,0.505404653134133,2.52057360315543,0.177346939849214,0.190434497569114,0.199449675989009
"7","ML1","Lorge","ithaca",55,35,5.87272727272727,0.307103932280126,4.68571428571429,0.344881976088882,2.277543717957,0.219156746442269,2.04034928629488,0.247428694721983,1.18701298701299,0.473305561153535,2.1889493849062,0.16406869295952,0.537638172414213,0.218089303115579
"8","ML1","Lorge","jmu",94,80,6.28723404255319,0.198727558514859,4.9875,0.207069478647486,1.92673516505201,0.141275076682534,1.85208572128488,0.147344028648605,1.29973404255319,0.287921215797181,1.8928141053749,0.101758316720031,0.68366828285781,0.155819508188535
"9","ML1","Lorge","ku",59,54,6,0.292113361980941,6.18518518518519,0.255031922850861,2.24376530827551,0.208328378855079,1.87409423731637,0.182028123743061,-0.185185185185185,0.390873372238582,2.07548572009244,0.138674222780852,-0.0886205261958849,0.187145647511193
"10","ML1","Lorge","laurier",58,54,5.22413793103448,0.260349134389845,4.62962962962963,0.29471977510761,1.98275993582113,0.18570248236627,2.16573919836437,0.210355186492426,0.594508301404853,0.391998905095892,2.07293994012269,0.139126619290834,0.28483413589203,0.188771891533794
"11","ML1","Lorge","lse",137,140,5.99270072992701,0.189770700251074,5.18571428571429,0.172218972651631,2.22120909828595,0.134680584247293,2.037722364741,0.12221446587136,0.806986444212721,0.256026597635556,2.13044095248024,0.0906775887097348,0.377754302071925,0.120917137579202
