"","Project","Replication","Lab","T_N","C_N","T_M","SE_T_M","C_M","SE_C_M","T_SD","SE_T_SD","C_SD","SE_C_SD","MD","SE_MD","pooled_SD","SE_pooled_SD","SMD","SE_SMD"
"1","ML1","Jacowitz_Distance","abington",37,31,3485.81081081081,219.901775055203,1895.93548387097,276.284897315998,1337.61027765186,157.638882985408,1538.28920526417,198.592282454625,1589.87532693984,348.748320950471,1432.31776325966,123.733409107933,1.09733215305252,0.258444188337466
"2","ML1","Jacowitz_Distance","brasilia",30,43,3206.56666666667,282.134886356893,1446.66279069767,209.187242078286,1545.31641516827,202.909986115319,1371.73247999664,149.668283876527,1759.90387596899,343.780083455961,1445.15402818207,120.429502348506,1.20487961481092,0.25561381984117
"3","ML1","Jacowitz_Distance","charles",32,35,2964.734375,272.685996548959,1551.57142857143,242.385178692799,1542.54493835504,195.903403074591,1433.97005538745,173.894411833391,1413.16294642857,363.633418740297,1486.74127677133,129.404218236467,0.939493451728634,0.255009157590232
"4","ML1","Jacowitz_Distance","conncoll",49,33,3867.21428571429,178.053429051335,1606.95454545455,175.287179629974,1246.37400335934,127.207514037513,1006.94818451935,125.868523064919,2260.25974025974,260.448965021094,1156.56679542201,90.868469326455,1.93589531561542,0.269468254850454
"5","ML1","Jacowitz_Distance","csun",50,37,3590.46,181.254428708737,1823.45945945946,181.616422486538,1281.66235660042,129.467449077669,1104.72956958792,130.19362833882,1767.00054054054,262.373069367663,1209.88890403545,92.2531640633442,1.44753427607982,0.24133014597486
"6","ML1","Jacowitz_Distance","help",28,45,3667.17857142857,266.313941094131,1119.84444444444,188.173445017229,1409.20091760915,191.767955178014,1262.30584385653,134.562255085043,2547.33412698413,317.746881757591,1320.09485904492,110.00790492041,1.90919206580002,0.285796809543769
"7","ML1","Jacowitz_Distance","ithaca",34,37,3269.35294117647,229.018358293755,1824.82432432432,189.737797401688,1335.39503024733,164.375765319535,1154.1299646163,136.01552072513,1444.52861685215,295.564033376422,1244.12131481733,105.147442261631,1.1484093423146,0.253970490305082
"8","ML1","Jacowitz_Distance","jmu",97,51,3444.05154639175,131.217458427953,2132.82352941176,178.11311828884,1292.34208917,93.2667566334232,1271.98208644434,127.198208644434,1311.22801697999,222.3310690382,1285.40579556582,74.9663883702982,1.01483809660436,0.181904674646484
"9","ML1","Jacowitz_Distance","ku",33,33,3307.07575757576,290.508130722232,1615.84848484848,229.068676520605,1668.84215626252,208.605269532815,1315.89936263217,164.487420329022,1691.22727272727,369.955987353397,1502.76832464201,131.801501028786,1.11215907589475,0.261835707424881
"10","ML1","Jacowitz_Distance","laurier",37,30,3646.01351351351,219.281916128927,1131.56666666667,227.340974776349,1333.83982300103,157.194530643449,1245.19780130219,163.502481493761,2514.44684684685,318.170314618042,1295.04167803386,112.718909838534,1.91909126580235,0.29403004828108
"11","ML1","Jacowitz_Distance","lse",131,102,3479.19847328244,128.028418619248,1607.54901960784,123.226204445864,1465.3522281735,90.8772873506025,1244.52366033661,87.5643791771597,1871.6494536746,181.329431228841,1373.17558317489,63.7480760735328,1.35857716174679,0.145894201280673
"12","ML1","Jacowitz_Distance","luc",63,62,3601.31746031746,182.178266194204,1689.87096774194,187.777290090281,1445.99515989237,129.854198710862,1478.55986073147,133.862520059846,1911.44649257552,261.581059746777,1462.23578425936,92.8520651525809,1.29921839003579,0.195867099369424
