"Project","Replication","Lab","Lab__Empirical__C_M","Lab__Empirical__SE_C_M"
"ML1","Jacowitz_Distance","psu",1454.0243902439,154.132581659526
"ML1","Jacowitz_Distance","qccuny",2062.03488372093,233.632337922614
"ML1","Jacowitz_Distance","qccuny2",1676.57575757576,193.864737679975
"ML1","Jacowitz_Distance","sdsu",2359.18181818182,160.922522453125
"ML1","Jacowitz_Distance","swps",1445.17741935484,291.370468231077
"ML1","Jacowitz_Distance","swpson",1569.36666666667,193.841297741171
"ML1","Jacowitz_Distance","tamu",1983.62195121951,164.122666291278
"ML1","Jacowitz_Distance","tamuc",1856.20731707317,199.208076943163
"ML1","Jacowitz_Distance","tamuon",1842.29411764706,147.811322994791
"ML1","Jacowitz_Distance","tilburg",1624.296875,226.617520137241
"ML1","Jacowitz_Distance","ufl",1896.36,171.534407829414
"ML1","Jacowitz_Distance","unipd",1508.25961538462,197.499162555447
"ML1","Jacowitz_Distance","uva",2189.875,219.03758147715
"ML1","Jacowitz_Distance","vcu",1975.4875,189.652845374948
"ML1","Jacowitz_Distance","wisc",2156.05555555556,249.366375434883
"ML1","Jacowitz_Distance","wku",1833.41489361702,209.314675823428
"ML1","Jacowitz_Distance","wl",2178.69696969697,223.347040588152
"ML1","Jacowitz_Distance","wpi",1842.85714285714,188.987191681197
"ML1","Jacowitz_Everest","abington",1280.42857142857,182.755414849089
"ML1","Jacowitz_Everest","brasilia",1287.39772727273,151.570358647023
"ML1","Jacowitz_Everest","charles",2697.39534883721,100.297858668702
"ML1","Jacowitz_Everest","conncoll",1920.91891891892,219.562504793233
"ML1","Jacowitz_Everest","csun",1591.01724137931,244.306861675634
"ML1","Jacowitz_Everest","help",1339.23611111111,192.389984524357
"ML1","Jacowitz_Everest","ithaca",1148.8125,132.46405981786
"ML1","Jacowitz_Everest","jmu",1443.98351648352,95.2559246201895
"ML1","Jacowitz_Everest","ku",1869.01388888889,160.83300084608
"ML1","Jacowitz_Everest","laurier",989.364583333333,121.534686935269
"ML1","Jacowitz_Everest","lse",1219.74409448819,75.4908546591889
"ML1","Jacowitz_Everest","luc",1352.31884057971,119.595782583438
"ML1","Jacowitz_Everest","mcdaniel",1707.35,192.568923059265
"ML1","Jacowitz_Everest","msvu",928.822580645161,87.8583431830739
"ML1","Jacowitz_Everest","mturk",1619.35173824131,47.6465164934911
"ML1","Jacowitz_Everest","osu",1244.21739130435,169.702574893977
"ML1","Jacowitz_Everest","oxy",1682.18888888889,162.354087784775
"ML1","Jacowitz_Everest","pi",1798.72811447811,45.8666359960292
"ML1","Jacowitz_Everest","psu",1268.07954545455,131.259054800095
"ML1","Jacowitz_Everest","qccuny",925.787234042553,109.064134210612
"ML1","Jacowitz_Everest","qccuny2",1233.05128205128,140.547786998297
"ML1","Jacowitz_Everest","sdsu",1540.74305555556,124.972955600636
"ML1","Jacowitz_Everest","swps",1817.5,182.97735352978
"ML1","Jacowitz_Everest","swpson",2740.76712328767,91.2289028603517
"ML1","Jacowitz_Everest","tamu",1783.90789473684,131.613902611284
"ML1","Jacowitz_Everest","tamuc",1258.02325581395,173.347862513049
"ML1","Jacowitz_Everest","tamuon",2003.3137254902,138.169253171306
"ML1","Jacowitz_Everest","tilburg",1680.57291666667,116.517268822529
"ML1","Jacowitz_Everest","ufl",1469.2,121.266180235573
"ML1","Jacowitz_Everest","unipd",2525.10714285714,120.36204699246
"ML1","Jacowitz_Everest","uva",1539.67073170732,142.363621742555
"ML1","Jacowitz_Everest","vcu",1028.79411764706,94.1108130484552
"ML1","Jacowitz_Everest","wisc",1529.01063829787,142.180387542059
"ML1","Jacowitz_Everest","wku",1335.36111111111,166.34115141541
"ML1","Jacowitz_Everest","wl",1595.5,113.697103362976
"ML1","Jacowitz_Everest","wpi",1683.73469387755,150.963982322828
