"","Project","Replication","Empirical__K","Empirical__N","Model_Estimate__C_M","Model_Estimate__T_M","Model_Estimate__C_SD","Model_Estimate__T_SD","Model_Estimate__pooled_SD","Model_Estimate__MD","Model_Estimate__SMD","Model_Estimate__C_M_K","Model_Estimate__T_M_K","Model_Estimate__C_SD_K","Model_Estimate__T_SD_K","Model_Estimate__pooled_SD_K","Model_Estimate__MD_K","Model_Estimate__SMD_K","Tau2__C_M","Tau2__T_M","Tau2__C_SD","Tau2__T_SD","Tau2__pooled_SD","Tau2__MD","Tau2__SMD","Tau__C_M","Tau__T_M","Tau__C_SD","Tau__T_SD","Tau__pooled_SD","Tau__MD","Tau__SMD","I2__T_M","I2__C_M","I2__T_SD","I2__C_SD","I2__MD","I2__pooled_SD","I2__SMD","H2__T_M","H2__C_M","H2__TSD","H2__C_SD","H2__MD","H2__pooled_SD","H2__SMD","QE__T_M","QE__C_M","QE__T_SD","QE__C_SD","QE__MD","QE__pooled_SD","QE__SMD","QEp__T_M","QEp__C_M","QEp__T_SD","QEp__C_SD","QEp__MD","QEp__pooled_SD","QEp__SMD","H2__T_SD"
"1","ML1","Jacowitz_Chicago",36,5284,1442.10584088068,3643.64056475623,972.500056394348,1109.94221787741,1073.85555097368,2168.14552109269,1.99711975084158,36,36,36,36,36,36,36,133438.980028222,30744.2332401099,28173.3709435768,387.035493097043,2303.62004013717,114922.26261317,0.12916345213758,365.293005720369,175.340335462522,167.849250649435,19.6732176599824,47.9960419215707,339.001862256197,0.359393172079799,63.5008219822975,90.2076965264645,4.13656617189516,79.2653328054936,76.912898789146,34.8286137455705,75.6170566602842,2.73978772758935,10.2121018073284,0,4.82284085208249,4.33142294854179,1.53441572670557,4.1012275920404,83.2266298548464,390.77678874447,31.0512679013613,213.670846259422,161.942429851508,51.1048038294466,153.543952274332,8.34739096859295e-06,1.11988220002985e-61,0.659251493710565,1.64103592251195e-27,3.06732551520239e-18,0.0386013523606213,8.60487964614012e-17,1.04315061548194
"2","ML1","Jacowitz_Distance",36,5362,1798.57985549604,3485.66466365303,1279.65375904333,1331.88950530349,1328.08675033487,1662.5099065636,1.2098166402819,36,36,36,36,36,36,36,45415.0876233666,13192.3211975224,4703.65326971504,314.760803895768,3508.99220228136,62982.2698455206,0.0238827302937287,213.108159448123,114.857830370952,68.5831850362393,17.7414994827317,59.2367470602611,250.962686161749,0.154540384022199,34.4491445117263,65.5292769640314,2.41180617761943,27.93663714257,55.6180417434815,35.9391254904651,41.3292074262011,1.52553310334583,2.90101254608598,0,1.38766768625327,2.25316781702197,1.56101521819088,1.70442558576681,53.8327104813211,96.9723253559892,32.6878983299463,46.8525219225993,81.6693998948255,55.1883083952941,60.5468693316672,0.0218565550793363,9.93205528395243e-08,0.580216189314004,0.0868909912802531,1.34656532042537e-05,0.0162630940296351,0.00468050579128495,1.02471411841077
"3","ML1","Jacowitz_Everest",36,5627,1558.18354217014,4040.41904218702,966.459950080218,1005.94215114459,998.741215024609,2475.19799470836,2.41271785223364,36,36,36,36,36,36,36,183695.183647941,95461.8233962451,30847.7946694259,19017.2540120504,14038.4839945895,479015.54449352,0.480661770668484,428.596761126284,308.968968338643,175.635402665368,137.90306019828,118.484108616259,692.109488804712,0.693297750370275,87.3091318792262,93.7041257157148,72.9698931628589,83.1143324553023,94.5039745994491,80.1921895647068,91.356679708836,7.87968159848019,15.8834175341785,0,5.92218221372013,18.1949668554984,5.04851358138109,11.569627947518,315.601406471198,609.800274198396,151.824215923769,211.763551970951,713.290766616149,199.152636693769,315.809494717707,7.1085819011401e-47,4.60870715912637e-106,1.69341494068621e-16,3.67897486137886e-27,2.04475529488209e-127,7.39858452703803e-25,6.47571095410887e-47,3.69957842203544
